season_id,episode,ep_ord,player_a,player_b,weight,event_type,format
s08_the_inferno,12,12,Katie Cooley,Julie Stoffer,1.0,elimination,individual
s08_the_inferno,13,13,Darrell Taylor,Timmy Beggy,1.0,elimination,individual
s08_the_inferno,14/15,14,Kendal Sheppard,Leah Gillingwater,1.0,elimination,individual
s08_the_inferno,15/16,15,Katie Cooley,Veronica Portillo,1.0,elimination,individual
s08_the_inferno,15/16,15,Katie Cooley,David Burns,1.0,elimination,individual
s09_battle_of_the_sexes_2,1/2,1,Eric Nies,Jacquese Smith,1.0,elimination,individual
s09_battle_of_the_sexes_2,1/2,1,Tina Barta,Genesis Moss,1.0,elimination,individual
s09_battle_of_the_sexes_2,3,3,Coral Smith,Cameran Eubanks,1.0,elimination,individual
s09_battle_of_the_sexes_2,3,3,Theo von Kurnatowski,Ace Amerson,1.0,elimination,individual
s09_battle_of_the_sexes_2,4,4,Shawn Sealy,Adam King,1.0,elimination,individual
s09_battle_of_the_sexes_2,5,5,Steven Hill,Abram Boise,1.0,elimination,individual
s09_battle_of_the_sexes_2,5,5,Sophia Pasquis,Ayanna Mackins,1.0,elimination,individual
s09_battle_of_the_sexes_2,6,6,Randy Barry,Derrick Kosinski,1.0,elimination,individual
s09_battle_of_the_sexes_2,6,6,Veronica Portillo,Cynthia Roberts,1.0,elimination,individual
s09_battle_of_the_sexes_2,7,7,Randy Barry,Shawn Sealy,1.0,elimination,individual
s09_battle_of_the_sexes_2,7,7,Tonya Cooley,Angela Trimbur,1.0,elimination,individual
s09_battle_of_the_sexes_2,8,8,Nick Haggart,Mike Mizanin,1.0,elimination,individual
s09_battle_of_the_sexes_2,8,8,Tonya Cooley,Rachel Robinson,1.0,elimination,individual
s09_battle_of_the_sexes_2,9,9,Theo von Kurnatowski,Chris Graebe,1.0,elimination,individual
s09_battle_of_the_sexes_2,9,9,Ruthie Alcaide,Katie Cooley,1.0,elimination,individual
s09_battle_of_the_sexes_2,10,10,Robin Hibbard,Aneesa Ferreira,1.0,elimination,individual
s09_battle_of_the_sexes_2,10,10,Steven Hill,Nick Haggart,1.0,elimination,individual
s09_battle_of_the_sexes_2,11,11,Theo von Kurnatowski,Frank Roessler,1.0,elimination,individual
s09_battle_of_the_sexes_2,11,11,Tina Barta,Veronica Portillo,1.0,elimination,individual
s09_battle_of_the_sexes_2,12,12,Shane Landrum,Randy Barry,1.0,elimination,individual
s09_battle_of_the_sexes_2,12,12,Ruthie Alcaide,Ibis Nieves,1.0,elimination,individual
s09_battle_of_the_sexes_2,14,14,Mark Long,Shane Landrum,1.0,elimination,individual
s09_battle_of_the_sexes_2,14,14,Tina Barta,Robin Hibbard,1.0,elimination,individual
s09_battle_of_the_sexes_2,15,15,Eric Nies,Brad Fiorenza,1.0,elimination,individual
s09_battle_of_the_sexes_2,15,15,Tina Barta,Ruthie Alcaide,1.0,elimination,individual
s09_battle_of_the_sexes_2,16,16,Coral Smith,Tina Barta,1.0,elimination,individual
s09_battle_of_the_sexes_2,16,16,Theo von Kurnatowski,Mark Long,1.0,elimination,individual
s10_the_inferno_ii,1,1,Mike Mizanin,Dan Renzi,1.0,elimination,individual
s10_the_inferno_ii,2,2,Dan Renzi,Jon Brennan,1.0,elimination,individual
s10_the_inferno_ii,3,3,Robin Hibbard,Tina Barta,1.0,elimination,individual
s10_the_inferno_ii,4,4,Tina Barta,Robin Hibbard,1.0,elimination,individual
s10_the_inferno_ii,5,5,Mike Mizanin,Karamo Brown,1.0,elimination,individual
s10_the_inferno_ii,6,6,Landon Lueck,Karamo Brown,1.0,elimination,individual
s10_the_inferno_ii,7,7,Jodi Weatherton,Veronica Portillo,1.0,elimination,individual
s10_the_inferno_ii,8,8,Veronica Portillo,Jodi Weatherton,1.0,elimination,individual
s10_the_inferno_ii,9,9,Mike Mizanin,Abram Boise,1.0,elimination,individual
s10_the_inferno_ii,10,10,Abram Boise,Brad Fiorenza,1.0,elimination,individual
s10_the_inferno_ii,11,11,Julie Stoffer,Tonya Cooley,1.0,elimination,individual
s10_the_inferno_ii,12,12,Tonya Cooley,Julie Stoffer,1.0,elimination,individual
s10_the_inferno_ii,13,13,Landon Lueck,Dan Renzi,1.0,elimination,individual
s10_the_inferno_ii,14,14,Landon Lueck,Dan Renzi,1.0,elimination,individual
s10_the_inferno_ii,15,15,Shavonda Billingslea,Tonya Cooley,1.0,elimination,individual
s10_the_inferno_ii,15,15,Tonya Cooley,Shavonda Billingslea,1.0,elimination,individual
s11_the_gauntlet_2,1,1,Adam Larson,Alton Williams,1.0,elimination,individual
s11_the_gauntlet_2,1,1,Jo Rhodes,Ruthie Alcaide,1.0,elimination,individual
s11_the_gauntlet_2,2,2,Derrick Kosinski,Adam Larson,1.0,elimination,individual
s11_the_gauntlet_2,4,4,Alton Williams,Danny Dias,1.0,elimination,individual
s11_the_gauntlet_2,5,5,Ruthie Alcaide,Jisela Delgado,1.0,elimination,individual
s11_the_gauntlet_2,6,6,Alton Williams,Adam King,1.0,elimination,individual
s11_the_gauntlet_2,7,7,Beth Stolarczyk,Ruthie Alcaide,1.0,elimination,individual
s11_the_gauntlet_2,8,8,Derrick Kosinski,Ace Amerson,1.0,elimination,individual
s11_the_gauntlet_2,9,9,Beth Stolarczyk,Montana McGlynn,1.0,elimination,individual
s11_the_gauntlet_2,10,10,Derrick Kosinski,Syrus Yarbrough,1.0,elimination,individual
s11_the_gauntlet_2,11,11,Kina Dean,Cara Zavaleta,1.0,elimination,individual
s11_the_gauntlet_2,12,12,Alton Williams,Jeremy Blossom,1.0,elimination,individual
s11_the_gauntlet_2,14,14,Derrick Kosinski,Brad Fiorenza,1.0,elimination,individual
s11_the_gauntlet_2,15,15,Kina Dean,Jillian Zoboroski,1.0,elimination,individual
s11_the_gauntlet_2,16/17,16,Timmy Beggy,Derrick Kosinski,1.0,elimination,individual
s12_fresh_meat,1,1,Wes Bergmann,Danny Jamieson,1.0,elimination,individual
s12_fresh_meat,1,1,Wes Bergmann,Evelyn Smith,1.0,elimination,individual
s12_fresh_meat,1,1,Casey Cooper,Danny Jamieson,1.0,elimination,individual
s12_fresh_meat,1,1,Casey Cooper,Evelyn Smith,1.0,elimination,individual
s12_fresh_meat,2,2,Wes Bergmann,Danny Jamieson,1.0,elimination,individual
s12_fresh_meat,2,2,Wes Bergmann,Evelyn Smith,1.0,elimination,individual
