ranking_id,season_id,is_finals,elim_idx_in_season
311,s22_battle_of_the_exes,False,11
312,s22_battle_of_the_exes,False,12
313,s22_battle_of_the_exes,False,13
314,s22_battle_of_the_exes,False,14
315,s22_battle_of_the_exes,False,15
316,s22_battle_of_the_exes,False,16
317,s22_battle_of_the_exes,False,17
318,s22_battle_of_the_exes,False,18
319,s22_battle_of_the_exes,False,19
320,s22_battle_of_the_exes,False,20
321,s22_battle_of_the_exes,False,21
322,s22_battle_of_the_exes,False,22
323,s22_battle_of_the_exes,False,23
324,s22_battle_of_the_exes,False,24
325,s22_battle_of_the_exes,False,25
326,s22_battle_of_the_exes,False,26
327,s22_battle_of_the_exes,False,27
328,s22_battle_of_the_exes,False,28
329,s22_battle_of_the_exes,False,29
330,s22_battle_of_the_exes,False,30
331,s22_battle_of_the_exes,False,31
332,s22_battle_of_the_exes,False,32
333,s22_battle_of_the_exes,False,33
334,s23_battle_of_the_seasons_2012,False,1
335,s23_battle_of_the_seasons_2012,False,2
336,s23_battle_of_the_seasons_2012,False,3
337,s23_battle_of_the_seasons_2012,False,4
338,s23_battle_of_the_seasons_2012,False,5
339,s23_battle_of_the_seasons_2012,False,6
340,s23_battle_of_the_seasons_2012,False,7
341,s23_battle_of_the_seasons_2012,False,8
342,s23_battle_of_the_seasons_2012,False,9
343,s23_battle_of_the_seasons_2012,False,10
344,s23_battle_of_the_seasons_2012,False,11
345,s23_battle_of_the_seasons_2012,False,12
346,s23_battle_of_the_seasons_2012,False,13
347,s23_battle_of_the_seasons_2012,False,14
348,s23_battle_of_the_seasons_2012,False,15
349,s23_battle_of_the_seasons_2012,False,16
350,s23_battle_of_the_seasons_2012,False,17
351,s23_battle_of_the_seasons_2012,False,18
352,s23_battle_of_the_seasons_2012,False,19
353,s23_battle_of_the_seasons_2012,False,20
354,s23_battle_of_the_seasons_2012,False,21
355,s23_battle_of_the_seasons_2012,False,22
356,s23_battle_of_the_seasons_2012,False,23
357,s23_battle_of_the_seasons_2012,False,24
358,s23_battle_of_the_seasons_2012,False,25
359,s23_battle_of_the_seasons_2012,False,26
360,s23_battle_of_the_seasons_2012,False,27
361,s23_battle_of_the_seasons_2012,False,28
362,s23_battle_of_the_seasons_2012,False,29
363,s23_battle_of_the_seasons_2012,False,30
364,s23_battle_of_the_seasons_2012,False,31
365,s23_battle_of_the_seasons_2012,False,32
366,s23_battle_of_the_seasons_2012,False,33
367,s23_battle_of_the_seasons_2012,False,34
368,s23_battle_of_the_seasons_2012,False,35
369,s23_battle_of_the_seasons_2012,False,36
370,s23_battle_of_the_seasons_2012,False,37
371,s23_battle_of_the_seasons_2012,False,38
372,s23_battle_of_the_seasons_2012,False,39
373,s23_battle_of_the_seasons_2012,False,40
374,s23_battle_of_the_seasons_2012,False,41
375,s23_battle_of_the_seasons_2012,False,42
376,s23_battle_of_the_seasons_2012,False,43
377,s23_battle_of_the_seasons_2012,False,44
378,s23_battle_of_the_seasons_2012,False,45
379,s24_rivals_ii,False,1
380,s24_rivals_ii,False,2
381,s24_rivals_ii,False,3
382,s24_rivals_ii,False,4
383,s24_rivals_ii,False,5
384,s24_rivals_ii,False,6
385,s24_rivals_ii,False,7
386,s24_rivals_ii,False,8
387,s24_rivals_ii,False,9
388,s24_rivals_ii,False,10
389,s24_rivals_ii,False,11
