season_id,player,episode,game,opponent,fandom_result
s36_double_agents,Aneesa Ferreira,15,Fire Escape,Big T Fazakerley,L
s38_ride_or_dies,Aneesa Ferreira,6,In Your Face,Jakk Maddox,W
s38_ride_or_dies,Aneesa Ferreira,6,In Your Face,Laurel Stucky,W
s38_ride_or_dies,Aneesa Ferreira,14/15,Don't Let Me Down,Faysal Shafaat,?
s38_ride_or_dies,Aneesa Ferreira,14/15,Don't Let Me Down,Moriah Jade,?
s38_ride_or_dies,Aneesa Ferreira,14/15,Don't Let Me Down,Kaycee Clark,?
s38_ride_or_dies,Aneesa Ferreira,14/15,Don't Let Me Down,Kenny Clark,?
s38_ride_or_dies,Aneesa Ferreira,14/15,Knot So Fast,Kaycee Clark,W
s38_ride_or_dies,Aneesa Ferreira,14/15,Knot So Fast,Kenny Clark,W
s38_ride_or_dies,Aneesa Ferreira,15,Rumble Tumble,Amber Borzotra,W
s38_ride_or_dies,Aneesa Ferreira,15,Rumble Tumble,Chauncey Palmer,W
s38_ride_or_dies,Aneesa Ferreira,19,Balls In,Johnny Bananas,L
s38_ride_or_dies,Aneesa Ferreira,19,Balls In,Nany González,L
s40_battle_of_the_eras,Aneesa Ferreira,2,Pole Wrestle,Katie Cooley,W
s40_battle_of_the_eras,Aneesa Ferreira,4,Pick It Up,Jenny West,L
s41_vets_and_new_threats,Aneesa Ferreira,15,Loose Ends,Theo Campbell,L
s41_vets_and_new_threats,Aneesa Ferreira,15,Loose Ends,Adrienne Naylor,L
s15_the_gauntlet_iii,Angel Turlington,2,Ram It Home,Jillian Zoboroski,L
s32_final_reckoning,Angela Babicz,8,No Slack,Ashley Mitchell,L
s32_final_reckoning,Angela Babicz,8,No Slack,Hunter Barfield,L
s35_total_madness,Asaf Goren,1,Air Strike,Jay Starrett,L
s39_battle_for_a_new_champion,Asaf Goren,14,Mind Grind,CT Tamburello,L
s33_war_of_the_worlds,Ashley Cain,7,Uphill Battle,Amanda Garcia,W
s33_war_of_the_worlds,Ashley Cain,7,Uphill Battle,Josh Martinez,W
s33_war_of_the_worlds,Ashley Cain,9,Wheel of Death,Paulie Calafiore,L
s33_war_of_the_worlds,Ashley Cain,9,Wheel of Death,Natalie Duran,L
s23_battle_of_the_seasons_2012,Ashley Kelsey,11,Knot So Fast,Derek Chavez,W
s23_battle_of_the_seasons_2012,Ashley Kelsey,11,Knot So Fast,Jonna Mannion,W
s29_invasion_of_the_champions,Ashley Kelsey,7,Pole Wrestle,Cara Maria Sorbello,L
s28_rivals_iii,Ashley Mitchell,10/11,Spun Out,Christina LeBlanc,L
s28_rivals_iii,Ashley Mitchell,10/11,Spun Out,Nate Siebenmark,L
s29_invasion_of_the_champions,Ashley Mitchell,11,Inside Out,Amanda Garcia,L
s32_final_reckoning,Ashley Mitchell,8,No Slack,Angela Babicz,W
s32_final_reckoning,Ashley Mitchell,8,No Slack,Faith Stowers,W
s33_war_of_the_worlds,Ashley Mitchell,2,Drone Ball Drop,Hunter Barfield,L
s33_war_of_the_worlds,Ashley Mitchell,2,Drone Ball Drop,Georgia Harrison,L
s34_war_of_the_worlds_2,Ashley Mitchell,14,Run for Your Life,Nany González,W
s35_total_madness,Ashley Mitchell,4,Code Breaker,Dee Nguyen,L
s36_double_agents,Ashley Mitchell,1,Fire Escape,Natalie Anderson,L
s36_double_agents,Ashley Mitchell,6,Dead Ringer,Kam Williams,L
s37_spies_lies_allies,Ashley Mitchell,10,Seek and Destroy,Priscilla Anyabu,W
