player,gender,era_total,era_daily,era_elim,era_within,era_field
Kayleigh Morris,F,0.43,0.79,0.56,0.55,0.0
Kelley Limp,F,0.87,0.66,0.85,1.09,0.7
KellyAnne Judd,F,0.5,0.58,1.12,0.16,0.38
Kelz Dyke,M,0.0,0.74,0.0,0.0,0.0
Kendal Sheppard,F,0.43,0.0,0.59,0.89,0.33
Kenny Santucci,M,4.38,4.31,4.67,4.27,4.69
Kim Tränka,M,0.0,0.25,0.0,0.0,0.0
Kimberly Alexander,F,0.27,0.69,0.05,0.15,0.0
Kina Dean,F,1.26,1.14,1.46,1.74,0.82
Kyland Young,M,1.23,1.32,1.11,0.64,1.04
Kyle Christie,M,2.35,2.65,1.85,3.02,2.54
LaToya Jackson,F,0.06,0.95,0.38,0.04,0.0
Lacey Buehler,F,0.0,0.32,0.0,0.0,0.0
Landon Lueck,M,1.72,0.95,1.86,2.34,1.59
Larissa Nakagawa,F,0.17,0.0,0.82,0.06,0.0
Laurel Stucky,F,3.86,2.41,6.65,4.09,3.23
Leah Gillingwater,F,0.0,0.0,0.0,0.11,0.0
Leka Sodade,F,0.0,0.23,0.0,0.0,0.0
Leonardo Dionicio,M,0.47,0.6,0.53,0.52,0.0
Leroy Garrett,M,2.61,3.05,5.1,2.23,2.49
Lindsay Brien,F,0.0,0.24,0.0,0.03,0.0
Linette Gallo,F,0.28,0.1,0.52,0.29,0.18
Logan Sampedro,M,0.23,0.46,0.48,0.31,0.0
Lori Trespicio,F,0.56,0.02,0.46,0.53,0.81
Luke Wolfe,M,0.36,0.55,0.51,0.15,0.35
MJ Garrett,M,0.72,0.56,0.83,0.8,0.67
Mandi Moyer,F,0.0,0.21,0.0,0.0,0.1
Marie Roda,F,0.17,1.27,0.1,0.06,0.45
Mark Long,M,1.28,0.56,1.62,1.0,2.32
Marlon Williams,M,0.41,0.17,0.96,0.17,0.64
Matt Smith,M,0.0,0.45,0.0,0.0,0.0
Mattie Lynn Breaux,F,0.58,0.89,0.45,0.57,0.06
Mechie Harris,M,0.0,0.1,0.0,0.0,0.0
Melinda Collins,F,0.28,0.41,0.52,0.29,0.18
Melissa Howard,F,0.0,0.16,0.0,0.0,0.0
Melissa Reeves,F,0.52,0.84,0.4,0.25,0.41
Michael Ross,M,0.09,0.0,0.18,0.0,0.5
Michaela Bradshaw,F,0.65,1.49,0.94,0.0,0.88
Michele Fitzgerald,F,0.64,1.4,0.32,0.94,0.41
Mike Boise,M,0.73,0.89,0.79,0.65,0.33
Mike Mizanin,M,2.15,1.4,3.02,2.2,2.78
Mitch Reid,M,1.01,1.02,1.03,0.73,1.09
Montana McGlynn,F,0.0,0.69,0.0,0.19,0.0
Morgan Willett,F,0.0,0.66,0.0,0.0,0.0
Moriah Jade,F,0.22,0.15,0.8,0.0,0.51
Nany Gonzalez,F,0.18,0.43,0.1,0.0,0.0
Nany González,F,2.03,1.88,2.42,2.73,2.83
Naomi Defensor,F,0.19,0.51,0.44,0.06,0.0
Natalie Anderson,F,0.0,0.0,0.54,0.01,0.0
Natalie Duran,F,1.69,1.2,1.88,1.65,1.87
Natalie Negrotti,F,1.45,1.81,0.41,1.72,1.19
Nate Siebenmark,M,0.19,0.37,0.2,0.17,0.0
Nate Stodghill,M,0.0,0.52,0.0,0.0,0.0
Nathan Blackburn,M,0.0,0.0,0.0,0.0,0.29
Nehemiah Clark,M,1.57,0.77,2.02,2.44,0.92
Nelson Thomas,M,1.99,1.93,3.01,1.91,1.77
Nia Moore,F,0.12,0.02,0.56,0.29,0.0
Nick Brown,M,0.0,1.0,0.0,0.0,0.0
Nick Haggart,M,0.0,0.0,0.69,0.0,0.0
Nicole Ramos,F,0.01,0.13,0.82,0.01,0.0
Nicole Zanatta,F,0.33,0.01,0.25,0.04,1.4
Noor Jehangir,M,0.12,0.0,0.53,0.0,0.54
Norman Korpi,M,0.0,0.2,0.0,0.0,0.09
Nurys Mateo,F,1.03,0.94,0.0,1.71,1.06
Olivia Kaiser,F,1.41,0.73,2.08,0.28,2.37
Paula Meronek,F,1.6,1.33,2.04,2.87,2.15
Paulie Calafiore,M,2.15,2.32,3.12,0.48,2.2
Pete Connolly,M,0.41,0.33,0.71,0.08,0.6
Preston Roberson-Charles,M,0.0,0.05,0.05,0.0,0.0
Priscilla Anyabu,F,0.04,0.49,0.0,0.04,0.0
Priscilla Mendez,F,0.0,0.5,0.0,0.0,0.0
Puck Rainey,M,0.19,0.39,0.17,0.16,0.0
Rachel Braband,F,0.18,0.28,0.4,0.49,0.0
Rachel Moyal,F,0.27,0.35,0.0,0.71,0.04
Rachel Robinson,F,1.89,0.44,1.72,4.17,2.3
Randy Barry,M,0.31,0.0,0.19,0.65,0.4
Raphy Medrano,M,0.53,0.64,0.6,0.44,0.25
