season_id,player,opponent,our_result
s27_battle_of_the_bloodlines,Cara Maria Sorbello,Rianna Polin,W
s27_battle_of_the_bloodlines,Dario Medrano,Mitch Reid,L
s27_battle_of_the_bloodlines,Emily Reese,Jenna Compono,L
s27_battle_of_the_bloodlines,Jamie Banks,Abram Boise,W
s27_battle_of_the_bloodlines,Jenna Compono,Camila Nakagawa,W
s27_battle_of_the_bloodlines,Jenna Compono,Anthony Cuomo,W
s27_battle_of_the_bloodlines,Jenna Compono,Emily Reese,W
s27_battle_of_the_bloodlines,Jill Tuttle,Thomas Buell,L
s27_battle_of_the_bloodlines,KellyAnne Judd,Nicole Ramos,W
s27_battle_of_the_bloodlines,Mike Boise,Thomas Buell,W
s27_battle_of_the_bloodlines,Mitch Reid,Dario Medrano,W
s27_battle_of_the_bloodlines,Nicole Ramos,KellyAnne Judd,L
s27_battle_of_the_bloodlines,Rianna Polin,Cara Maria Sorbello,L
s27_battle_of_the_bloodlines,Thomas Buell,Jill Tuttle,W
s27_battle_of_the_bloodlines,Thomas Buell,Mike Boise,L
s30_xxx_dirty_30,Amanda Garcia,LaToya Jackson,W
s30_xxx_dirty_30,CT Tamburello,Nelson Thomas,L
s30_xxx_dirty_30,Camila Nakagawa,Jenna Compono,W
s30_xxx_dirty_30,Derrick Kosinski,Tony Raines,W
s30_xxx_dirty_30,Hunter Barfield,Jordan Wiseley,W
s30_xxx_dirty_30,Jenna Compono,Camila Nakagawa,L
s30_xxx_dirty_30,Jordan Wiseley,Hunter Barfield,L
s30_xxx_dirty_30,LaToya Jackson,Amanda Garcia,L
s30_xxx_dirty_30,Nelson Thomas,CT Tamburello,W
s30_xxx_dirty_30,Nicole Ramos,Tori Deal,W
s30_xxx_dirty_30,Tony Raines,Derrick Kosinski,L
s30_xxx_dirty_30,Tori Deal,Nicole Ramos,L
s31_vendettas,Aneesa Ferreira,Veronica Portillo,W
s31_vendettas,Ashley Mitchell,Kam Williams,L
s31_vendettas,Derrick Kosinski,Joss Mooney,W
s31_vendettas,Devin Walker,Zach Nichols,L
s31_vendettas,Frank Fox,Brad Fiorenza,L
s31_vendettas,Jemmye Carroll,Nicole Zanatta,L
s31_vendettas,Jordan Wiseley,Shane Landrum,W
s31_vendettas,Joss Mooney,Rogan O'Connor,W
s31_vendettas,Laurel Stucky,Britni Thornton,W
s31_vendettas,Nelson Thomas,Tony Raines,L
s31_vendettas,Nicole Zanatta,Jemmye Carroll,W
s31_vendettas,Rogan O'Connor,Joss Mooney,L
s31_vendettas,Tony Raines,Nelson Thomas,W
s31_vendettas,Tori Deal,Kam Williams,L
s31_vendettas,Veronica Portillo,Aneesa Ferreira,L
s31_vendettas,Zach Nichols,Devin Walker,W
s32_final_reckoning,Amanda Garcia,Britni Thornton,W
s32_final_reckoning,Ashley Mitchell,Kam Williams,W
s32_final_reckoning,Ashley Mitchell,Kayleigh Morris,W
s32_final_reckoning,Brad Fiorenza,CT Tamburello,W
s32_final_reckoning,Britni Thornton,Amanda Garcia,L
s32_final_reckoning,CT Tamburello,Brad Fiorenza,L
s32_final_reckoning,CT Tamburello,Kyle Christie,L
s32_final_reckoning,Kam Williams,Sylvia Elsrode,L
s32_final_reckoning,Kam Williams,Ashley Mitchell,L
s32_final_reckoning,Kayleigh Morris,Ashley Mitchell,L
s32_final_reckoning,Kayleigh Morris,Sylvia Elsrode,L
s32_final_reckoning,Kyle Christie,CT Tamburello,W
s32_final_reckoning,Nelson Thomas,Paulie Calafiore,L
s32_final_reckoning,Paulie Calafiore,Nelson Thomas,W
s32_final_reckoning,Paulie Calafiore,Shane Landrum,W
s32_final_reckoning,Shane Landrum,Paulie Calafiore,L
s32_final_reckoning,Sylvia Elsrode,Kayleigh Morris,W
s32_final_reckoning,Sylvia Elsrode,Kam Williams,W
s33_war_of_the_worlds,Da'Vonne Rogers,Liz Nolan,W
s33_war_of_the_worlds,Josh Martinez,Paulie Calafiore,L
s33_war_of_the_worlds,Liz Nolan,Da'Vonne Rogers,L
s33_war_of_the_worlds,Paulie Calafiore,Josh Martinez,W
s38_ride_or_dies,Aneesa Ferreira,Moriah Jade,L
